ID,LUCID_zip,Wpoor,Bpoor,Wwealthy,Bwealthy,city_B,city_W,poverty_city_Other,US_B,US_W,poverty_US_Other,statusBlack,statusWhite,welfsupp1,welfsupp2,welfsupp3,recip1,recip2,recip3,recip4,recip5,SuppRep1,SuppRep2,SuppRep3,Vote_Biden,Vote_Sanders,Vote_Trump,vote_final,black_contact1,black_contact2,black_contact3,black_quality1,black_quality2,black_quality3,black_quality4,white_contact1,white_contact2,white_contact3,white_quality1,white_quality2,white_quality3,white_quality4,ThermBlack,ThermWhite,ThermHisp,ThermAsian,ThermNatAm,IMS1,IMS2,IMS3,IMS4,IMS5,soc_iss,econ_iss,pol_aff,age,gender,gender_TEXT,receivewelf1,income,edu,LadderSelf,race_White,race_Black,race_NatAm,race_Asian,race_Multiracial,race_Multiracial_TEXT,race_Other,race_Other_TEXT,ethn_NotHispLat,ethn_HispLat,White_ident,Black_ident,State,zip,CALC_VAR_BELOW,WelfSupport,Democrat,PsWhite,recip1R,recip2R,recip3R,HardworkingWelf
34,11226,6,3,5,5,100.00,0.00,0.00,50.00,50.00,0.00,90.00,100.00,6,4,6,6,6,4,5,5,6,6,5,91.00,80.00,98.00,1,4,4,5,5,5,5,5,4,4,3,5,4,5,5,95.00,58.00,49.00,81.00,97.00,6,7,7,6,6,7,7,3,20,1,,0,9,3,10,#NULL!,1,#NULL!,#NULL!,#NULL!,,#NULL!,,1,#NULL!,#NULL!,5,33,11203,#NULL!,5.33,1.00,0.00,1.00,1.00,3.00,3.00
35,28504,2,3,3,3,50.00,50.00,0.00,70.00,25.00,5.00,50.00,40.00,5,4,5,5,4,4,3,3,3,3,4,50.00,100.00,1.00,2,5,5,5,5,5,5,5,3,3,2,5,5,5,5,100.00,100.00,100.00,100.00,100.00,7,1,7,7,7,4,4,3,65,2,,0,9,4,6,#NULL!,1,#NULL!,#NULL!,#NULL!,,#NULL!,,1,#NULL!,#NULL!,5,34,28504,#NULL!,4.67,1.00,0.00,2.00,3.00,3.00,2.80
36,77086,2,2,2,2,33.00,33.00,34.00,33.00,33.00,34.00,51.00,50.00,5,5,6,2,2,2,5,5,1,1,6,32.00,48.00,100.00,3,3,1,3,3,3,3,3,1,2,1,3,3,3,3,83.00,35.00,35.00,51.00,51.00,6,2,6,6,6,1,5,1,29,1,,0,12,2,5,#NULL!,1,#NULL!,#NULL!,#NULL!,,#NULL!,,1,#NULL!,#NULL!,5,45,77086,#NULL!,5.33,0.00,0.00,5.00,5.00,5.00,5.00
38,47802,2,4,4,3,10.00,5.00,85.00,10.00,10.00,80.00,64.00,57.00,5,4,5,4,4,3,3,4,6,6,1,91.00,40.00,0.00,1,2,2,2,4,3,4,4,4,4,4,5,5,5,5,75.00,90.00,40.00,44.00,73.00,5,5,3,4,4,3,2,3,54,1,,0,12,3,6,1,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,1,#NULL!,4,#NULL!,15,47802,#NULL!,4.67,1.00,1.00,3.00,3.00,4.00,3.40
40,55416,3,3,3,3,50.00,50.00,0.00,50.00,50.00,0.00,50.00,50.00,6,6,6,1,1,1,6,6,1,1,6,40.00,40.00,0.00,2,3,3,3,5,5,3,5,3,3,3,5,5,3,5,100.00,100.00,100.00,100.00,100.00,7,1,7,7,7,1,1,3,53,2,,0,16,4,7,#NULL!,1,#NULL!,#NULL!,#NULL!,,#NULL!,,1,#NULL!,#NULL!,5,24,55416,#NULL!,6.00,1.00,0.00,6.00,6.00,6.00,6.00
41,64015,4,1,2,6,50.00,25.00,25.00,25.00,40.00,35.00,100.00,52.00,5,5,5,4,1,1,3,3,1,1,6,48.00,50.00,1.00,1,5,3,5,5,5,5,5,3,2,2,1,1,1,1,100.00,5.00,9.00,6.00,100.00,5,1,4,6,4,5,4,2,23,2,,0,13,3,10,#NULL!,1,#NULL!,#NULL!,#NULL!,,#NULL!,,1,#NULL!,#NULL!,5,26,64015,#NULL!,5.00,0.00,0.00,3.00,6.00,6.00,4.20
42,21230,2,2,5,5,47.00,32.00,21.00,40.00,40.00,20.00,60.00,80.00,2,5,1,2,5,5,3,3,2,2,6,50.00,50.00,1.00,2,5,5,5,3,3,3,3,2,3,2,3,3,3,2,67.00,29.00,64.00,43.00,42.00,4,4,6,6,6,2,1,3,18,2,,0,4,2,5,#NULL!,1,#NULL!,#NULL!,#NULL!,,#NULL!,,1,#NULL!,#NULL!,5,21,21230,#NULL!,2.67,1.00,0.00,5.00,2.00,2.00,3.00
43,11222,3,6,5,5,35.00,30.00,35.00,35.00,30.00,35.00,81.00,84.00,5,4,6,5,5,6,5,5,5,6,5,75.00,81.00,76.00,3,4,4,4,4,4,5,5,4,4,5,5,4,4,5,85.00,82.00,84.00,79.00,77.00,6,7,6,6,6,4,5,3,39,1,,0,16,5,8,#NULL!,1,#NULL!,#NULL!,#NULL!,,#NULL!,,1,#NULL!,#NULL!,5,33,11222,#NULL!,5.00,1.00,0.00,2.00,2.00,1.00,3.00
44,72129,3,3,3,3,35.00,45.00,20.00,35.00,35.00,30.00,49.00,49.00,3,4,3,4,2,2,4,4,4,3,3,51.00,3.00,0.00,1,1,2,2,4,4,3,4,1,2,2,4,4,3,4,100.00,100.00,100.00,100.00,100.00,7,1,7,7,7,5,5,4,56,2,,0,14,2,5,#NULL!,1,#NULL!,#NULL!,#NULL!,,#NULL!,,1,#NULL!,#NULL!,3,4,72129,#NULL!,3.33,0.00,0.00,3.00,5.00,5.00,4.20
45,77033,1,1,1,1,50.00,50.00,0.00,30.00,30.00,40.00,100.00,100.00,1,5,1,6,1,1,1,4,1,1,1,50.00,100.00,0.00,2,1,5,5,5,5,5,5,1,3,1,5,5,5,5,100.00,100.00,100.00,100.00,100.00,7,1,7,7,7,1,2,3,45,2,,0,10,2,8,#NULL!,1,#NULL!,#NULL!,#NULL!,,#NULL!,,1,#NULL!,#NULL!,5,45,77033,#NULL!,2.33,1.00,0.00,1.00,6.00,6.00,3.60
